[2022-05-14 07:46:08,135: INFO] success
[2022-05-14 07:46:10,495: INFO] success
[2022-05-14 07:46:12,593: INFO] in-progress
[2022-05-14 07:46:14,689: INFO] in-progress
[2022-05-14 07:46:16,796: INFO] in-progress
[2022-05-14 07:46:16,803: INFO] file_cache is only supported with oauth2client<4.0.0
[2022-05-14 07:50:32,313: INFO] in-progress
[2022-05-14 07:50:34,449: INFO] in-progress
[2022-05-14 07:50:36,807: INFO] in-progress
[2022-05-14 07:50:38,904: INFO] success
[2022-05-14 07:50:41,005: INFO] in-progress
[2022-05-14 07:50:41,197: INFO] file_cache is only supported with oauth2client<4.0.0
[2022-05-14 08:06:28,049: __main__ INFO] in-progress
[2022-05-14 08:06:29,633: __main__ INFO] in-progress
[2022-05-14 08:06:31,372: __main__ INFO] in-progress
[2022-05-14 08:06:33,037: __main__ INFO] success
[2022-05-14 08:06:35,225: __main__ INFO] success
[2022-05-14 08:06:35,228: GoogleDriveUploader INFO] Received correct token
[2022-05-14 08:19:32,114: __main__ INFO] in-progress
[2022-05-14 08:19:33,736: __main__ INFO] in-progress
[2022-05-14 08:19:35,892: __main__ INFO] success
[2022-05-14 08:19:37,888: __main__ INFO] in-progress
[2022-05-14 08:19:39,703: __main__ INFO] success
[2022-05-14 08:19:39,706: GoogleDriveUploader INFO] Received correct token
[2022-05-14 08:19:40,164: GoogleDriveUploader INFO] Dir already exist
[2022-05-14 08:19:40,753: GoogleDriveUploader INFO] File exist and will be deleted
[2022-05-14 08:19:42,930: GoogleDriveUploader INFO] New file 1qrTnPg1WFpZGuzcvhQT8Mh75Jet6oJEz was recorded
[2022-05-14 08:19:42,931: GoogleDriveUploader INFO] File deleted from /tmp
[2022-05-14 08:19:43,442: GoogleDriveUploader INFO] File exist and will be deleted
[2022-05-14 08:19:45,979: GoogleDriveUploader INFO] New file 1uoS7J6sgRxwbcnBPPKFDUrjwXeyMusea was recorded
[2022-05-14 08:19:45,979: GoogleDriveUploader INFO] File deleted from /tmp
[2022-05-14 08:19:46,428: GoogleDriveUploader INFO] File exist and will be deleted
[2022-05-14 08:19:49,065: GoogleDriveUploader INFO] New file 17sIMqzihnWeZhHndOWj4gcFPTUEv3VR6 was recorded
[2022-05-14 08:19:49,065: GoogleDriveUploader INFO] File deleted from /tmp
[2022-05-14 08:19:49,586: GoogleDriveUploader INFO] File exist and will be deleted
[2022-05-14 08:19:51,530: GoogleDriveUploader INFO] New file 1pfExUD_0eoBUUhuXNWDkKL07m8Op9rxo was recorded
[2022-05-14 08:19:51,530: GoogleDriveUploader INFO] File deleted from /tmp
